Date,AAPL,ADBE,AMD,AMZN,ASML,AVGO,CMCSA,CSCO,EBAY,GOOG,GOOGL,HSIC,INTC,MSFT,PYPL,VRSK
2021-03-01 00:00:00,122.15,475.37,78.50,3094.08,617.36,463.66,54.11,51.71,61.24,2068.63,2062.52,69.24,64.00,235.77,242.84,176.69
2021-04-01 00:00:00,131.46,508.34,81.62,3467.42,648.10,456.20,56.15,50.91,55.79,2410.12,2353.50,72.50,57.53,252.18,262.29,188.20
2021-05-01 00:00:00,124.61,504.58,80.08,3223.07,675.47,472.33,57.34,52.90,60.88,2411.56,2356.85,76.04,57.12,249.68,260.02,172.83
2021-06-01 00:00:00,136.96,585.64,93.93,3440.16,690.84,476.84,57.02,53.00,70.21,2506.32,2441.79,74.19,56.14,270.90,291.48,174.72
2021-07-01 00:00:00,145.86,621.63,106.19,3327.59,766.74,485.40,58.83,55.37,68.21,2704.42,2694.53,80.15,53.72,284.91,275.53,189.94
2021-08-01 00:00:00,151.83,663.70,110.72,3470.79,833.04,497.21,60.68,59.02,76.74,2909.24,2893.95,75.59,54.06,301.88,288.66,201.76
2021-09-01 00:00:00,141.50,575.72,102.90,3285.04,745.11,484.93,55.93,54.43,69.67,2665.31,2673.52,76.16,53.28,281.92,260.21,200.27
2021-10-01 00:00:00,149.80,650.36,120.23,3372.43,812.88,531.67,51.43,55.97,76.72,2965.41,2960.92,76.35,49.00,331.62,232.59,210.27
2021-11-01 00:00:00,165.30,669.85,158.37,3507.07,791.51,553.68,49.98,54.84,67.46,2849.04,2837.95,71.06,49.20,330.59,184.89,224.87
2021-12-01 00:00:00,178.20,570.53,145.15,3372.89,800.22,665.08,50.59,63.62,66.78,2930.09,2924.01,77.95,51.74,339.32,189.97,228.09
